time,latest_rate,metric_age_min,level,trend,horizon_min,forecast_rate,backlog,running,desired,planned,min_capacity,action
19:26:57,111.8,2.0,75.8,8.33,3.0,91.8,62,1,1,1,1,hold
19:27:27,113.7,1.5,98.0,11.35,2.5,117.2,70,1,1,1,1,hold
19:27:57,138.8,2.0,98.0,11.35,3.0,120.0,126,1,1,2,2,raise_min_2
19:28:27,140.9,1.5,124.0,14.15,2.5,147.9,249,2,2,2,2,hold
19:28:57,163.2,2.0,124.0,14.15,3.0,151.4,209,2,2,2,2,hold
19:29:27,170.7,1.5,153.0,16.62,2.5,181.0,40,2,2,2,2,hold
19:29:57,188.9,2.0,153.0,16.62,3.0,185.1,23,2,2,2,2,hold
19:30:27,184.6,1.5,175.4,16.04,2.5,202.5,42,2,2,2,2,hold
19:30:57,213.6,2.0,175.4,16.04,3.0,206.4,32,2,2,2,2,hold
19:31:27,205.4,1.5,196.9,15.41,2.5,222.9,38,2,2,2,2,hold
19:31:57,233.9,2.0,196.9,15.41,3.0,226.6,85,2,2,2,2,hold
19:32:27,221.8,1.5,215.5,14.22,2.5,239.5,59,2,2,3,3,raise_min_3
19:32:57,263.6,2.0,215.5,14.22,3.0,243.0,77,2,3,3,3,hold
19:33:27,242.5,1.5,234.7,13.72,2.5,257.9,5,3,3,3,3,hold
19:33:57,287.6,2.0,234.7,13.72,3.0,261.2,23,3,3,3,3,hold
19:34:27,229.8,1.5,237.8,8.60,2.5,252.3,6,3,3,3,3,hold
19:34:57,299.2,2.0,237.8,8.60,3.0,254.4,10,3,3,3,3,hold
19:35:27,284.5,1.5,264.6,12.86,2.5,286.3,10,3,4,3,3,hold
19:35:57,298.7,2.0,264.6,12.86,3.0,289.4,4,4,4,3,3,hold
19:36:27,235.1,1.5,255.0,4.32,2.5,262.3,0,4,4,3,3,set_desired_3
19:36:57,299.9,2.0,255.0,4.32,3.0,263.3,0,3,3,3,3,hold
19:37:27,259.7,1.5,259.1,3.65,2.5,265.2,17,3,3,3,3,hold
19:37:57,297.8,2.0,259.1,3.65,3.0,266.1,20,3,3,3,3,hold
19:38:27,249.0,1.5,255.5,0.97,2.5,257.1,6,3,3,3,3,hold
19:38:57,299.1,2.0,255.5,0.97,3.0,257.4,0,3,3,3,3,hold
19:39:27,217.2,1.5,236.7,-5.09,2.5,228.1,0,3,3,2,3,lower_pending_1
19:39:57,231.1,2.0,236.7,-5.09,3.0,226.9,0,3,3,2,3,lower_pending_2
19:40:27,85.2,1.5,158.9,-26.19,2.5,114.6,0,3,3,1,1,lower_min_1_set_desired_1
19:40:57,104.1,2.0,158.9,-26.19,3.0,108.2,0,1,1,1,1,hold
19:41:27,0.0,1.5,69.0,-41.65,2.5,0.0,0,1,1,1,1,hold
19:41:57,0.0,2.0,69.0,-41.65,3.0,0.0,0,1,1,1,1,hold
19:42:27,0.0,1.5,17.8,-38.67,2.5,0.0,0,1,1,1,1,hold
19:42:57,0.0,2.0,17.8,-38.67,3.0,0.0,0,1,1,1,1,hold
